fraction,fraction_percent,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,precision_mean,precision_std,recall_mean,recall_std
0.01,1.0,0.6344,0.06079078877593218,0.6199298462197523,0.07549842326577395,0.6085688270040528,0.062343188072977014,0.7944,0.07022592114027412
0.05,5.0,0.7840666666666666,0.01621028480111728,0.7834369422518307,0.015769532867735424,0.7653431405930121,0.010881924301455138,0.8206666666666668,0.06599434319192314
0.1,10.0,0.8231999999999999,0.00211660104885167,0.8229059856231756,0.002340641500697819,0.804678332447076,0.01978509869531447,0.8549333333333333,0.029291181835722054
0.25,25.0,0.8588666666666667,0.0025006665778015036,0.8588343403860157,0.002520920696539572,0.8608103482199828,0.014720583444879561,0.8566666666666668,0.016825377657970497
0.5,50.0,0.8761333333333333,0.005913825608972047,0.8761030908538116,0.005924508105683677,0.8675778952857245,0.011742339305829849,0.888,0.012079735096433218
1.0,100.0,0.8875333333333333,0.0021385353243127373,0.8874662043645699,0.0021023481965163596,0.8903840901775689,0.02062799933311481,0.8849333333333332,0.031980827589875305
