fraction,fraction_percent,mean_probability_drop_mean,mean_probability_drop_std,prediction_flip_rate_mean,prediction_flip_rate_std
0.01,1.0,0.030751052995522766,0.013364713318612496,0.23,0.029999999999999992
0.05,5.0,0.13929394423961636,0.026022738046938186,0.24333333333333332,0.03785938897200183
0.1,10.0,0.1884331519901752,0.003466615691853724,0.21999999999999997,0.017320508075688773
0.25,25.0,0.20279436858991776,0.026373987232572463,0.18000000000000002,0.02645751311064591
0.5,50.0,0.18724002527693903,0.027266445776173452,0.20333333333333337,0.04163331998932265
1.0,100.0,0.17764141251643495,0.03086715450116198,0.14333333333333334,0.02081665999466132
