fraction,fraction_percent,shortcut_rate_mean,shortcut_rate_std,stopword_rate_mean,stopword_rate_std,punctuation_rate_mean,punctuation_rate_std
0.01,1.0,0.7759999999999999,0.07501999733404423,0.532,0.060099916805266856,0.244,0.04995998398718718
0.05,5.0,0.6353333333333333,0.06001111008249501,0.48333333333333334,0.009237604307034013,0.152,0.05332916650389354
0.1,10.0,0.5353333333333333,0.023860706890897736,0.44,0.04915282290977801,0.09533333333333333,0.0434664621672081
0.25,25.0,0.3673333333333333,0.06634254542398366,0.2926666666666667,0.07128347167003955,0.07466666666666667,0.0061101009266077795
0.5,50.0,0.26533333333333337,0.03407834111768549,0.21266666666666667,0.022030282189144407,0.05266666666666667,0.012055427546683416
1.0,100.0,0.23266666666666666,0.006110100926607775,0.17533333333333334,0.016772994167212164,0.05733333333333334,0.021571586249817917
